Gene Set,ES,NES,P-value,FDR
cellcyclePathway,0.8634361233480172,2.0827596986317443,0.0,0.7341306347746092
SA_REG_CASCADE_OF_CYCLIN_EXPR,0.6486526068889178,1.850655640388284,0.041666666666666664,0.9652458346110601
SIG_CHEMOTAXIS,0.16045206942861076,0.3870385946700506,0.98,1.0
SIG_InsulinReceptorPathwayInCardiacMyocytes,-0.3041728259252524,-0.6566206345864568,0.6382978723404256,1.0
SIG_PIP3SIGINCARDIACMYOCTES,-0.15704657994188168,-0.3853457283084375,1.0,1.0
SIG_Regulation_of_the_actin_cytoskeleton_by_Rho_GTPases,-0.1580502215657308,-0.3411844449461865,1.0,1.0
sppaPathway,0.28297312971629246,0.6825809280291564,0.76,1.0
ST_Dictyostelium_discoideum_cAMP_Chemotaxis_Pathway,0.2268711545726657,0.40382897787538297,1.0,1.0
ST_Fas_Signaling_Pathway,0.1975383407307943,0.3516167860950578,1.0,1.0
ST_GRANULE_CELL_SURVIVAL_PATHWAY,0.25904032582214875,0.46108986487199755,0.9811320754716981,1.0
ST_Integrin_Signaling_Pathway,-0.21133048052146855,-0.6615092490956386,0.660377358490566,1.0
ST_Interleukin_4_Pathway,0.48596843607139545,0.86502022343062,0.660377358490566,1.0
ST_p38_MAPK_Pathway,0.5022058823529425,0.8939227577679386,0.6037735849056604,1.0
ST_T_Cell_Signal_Transduction,-0.23489725054562371,-0.5070748225016787,0.8936170212765957,1.0
ST_Wnt_beta_catenin_Pathway,-0.13360367907226295,-0.4030963054907639,0.9615384615384616,1.0
tcrPathway,0.4118155795766946,0.7330286870839235,0.7358490566037735,1.0
TGF_Beta_Signaling_Pathway,0.3823984279741299,0.9224122237513059,0.6,1.0
tnfr1Pathway,0.1691659984509889,0.4080581231490919,0.98,1.0
tnfr2Pathway,-0.24320166959750575,-0.5250016471321558,0.8085106382978723,1.0
tob1Pathway,0.18109062094095169,0.32233996646753027,1.0,1.0
tollPathway,0.2649309089236336,0.4715750592434165,0.9622641509433962,1.0
tsp1Pathway,0.6813186813186819,1.212742215741677,0.2641509433962264,1.0
ST_Phosphoinositide_3_Kinase_Pathway,-0.2676977766683665,-0.5778816153569276,0.7446808510638298,1.0
SIG_CD40PATHWAYMAP,-0.16835589219533528,-0.41309542631897284,0.98,1.0
41bbPathway,0.5018341892883358,0.8932611468608745,0.6037735849056604,1.0
setPathway,-0.351906158357771,-0.7596630116871279,0.5531914893617021,1.0
mRNA_splicing,-0.11846281623799629,-0.3708137530468101,1.0,1.0
ndkDynaminPathway,0.23282284119963848,0.5616096170394942,0.92,1.0
